Date,Player,Player ID,Team,Positions,Status,Roster Status,Change,Game
Sep 23,Charvarius Ward,31293,Ind,CB,Q,FA,Off Injured Reserve,Sun 1:00 pm vs Hou
Sep 23,Foyesade Oluokun,31170,Jax,LB,,FA,Off Injured Reserve,Sun 1:00 pm vs NE
Sep 23,D.J. Reed,31112,Det,CB,,FA,Off Injured Reserve,Sun 1:00 pm vs NYJ
Sep 23,Josh Sweat,31101,Ari,"LB,DE",,FA,Off Injured Reserve,Sun 4:05 pm @ SF
Sep 23,Dorance Armstrong,31086,Was,"LB,DE",Q,FA,Off Injured Reserve,Sun 1:00 pm vs Sea
Sep 23,Ronnie Harrison Jr.,31063,Mia,"DB,LB,S",IR,FA,Off Injured Reserve,Sun 1:00 pm vs KC
Sep 23,B.J. Hill,31039,Cin,DT,Q,FA,Off Injured Reserve,Sun 1:00 pm @ Pit
Sep 23,Carlton Davis III,31033,NE,CB,,FA,Off Injured Reserve,Sun 1:00 pm @ Jax
Sep 23,Daron Payne,30983,Was,DT,,FA,Off Injured Reserve,Sun 1:00 pm vs Sea
Sep 23,Minkah Fitzpatrick,30981,NYJ,S,Q,FA,Off Injured Reserve,Sun 1:00 pm @ Det
Sep 23,Sam Darnold,30973,Sea,QB,Q,Monday Night Madison,Off Injured Reserve,Sun 1:00 pm @ Was
Sep 23,Bradley Chubb,30975,Buf,LB,,FA,Off Injured Reserve,Sun 1:00 pm vs LAC
Sep 23,Cooper Rush,30788,Atl,QB,,FA,Off Injured Reserve,Thu 8:15 pm @ GB
Sep 23,Xavier Woods,30304,Chi,S,,FA,Off Injured Reserve,Mon 8:15 pm vs Phi
Sep 23,Davon Godchaux,30291,NO,"DL,DT",,FA,Off Injured Reserve,Sun 4:25 pm vs LV
Sep 23,Grover Stewart,30257,Ind,DT,,FA,Off Injured Reserve,Sun 1:00 pm vs Hou
Sep 23,George Kittle,30259,SF,TE,,Owl Out Blitz,Off Injured Reserve,Sun 4:05 pm vs Ari
Sep 23,Samson Ebukam,30238,Atl,"LB,DE",O,FA,On Injured Reserve,Thu 8:15 pm @ GB
