Player,Player ID,Team,Positions,Injury,Game,Roster Status,GP*,Bye,Fantasy Fan Pts,Rankings Pre-Season,Rankings Actual,Trends % Ros,Passing Yds,Passing TD,Passing Int,Rushing Att*,Rushing Yds,Rushing TD,Receiving Tgt*,Receiving Rec,Receiving Yds,Receiving TD,Ret TD,Misc 2PT,Fum Lost
Dominic Richardson,43034,NYJ,RB,NA,Sun 1:00 pm @ Det,FA,-,13,0.00,"2,535",498,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
TJ Harden,43051,Sea,RB,NA,Sun 1:00 pm @ Was,FA,-,11,0.00,"2,583",504,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Davon Booth,43060,Ind,RB,NA,Sun 1:00 pm vs Hou,FA,-,13,0.00,"2,590",509,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Isaiah Jacobs,43090,GB,RB,NA,Thu 8:15 pm vs Atl,FA,-,11,0.00,"2,602",524,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Al-Jay Henderson,43110,NYJ,RB,NA,Sun 1:00 pm @ Det,FA,-,13,0.00,"2,544",536,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Sam Scott,43209,NYJ,RB,NA,Sun 1:00 pm @ Det,FA,-,13,0.00,"2,553",596,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
EJ Smith,43115,KC,RB,NA,Sun 1:00 pm @ Mia,FA,-,5,0.00,"2,615",542,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Terion Stewart,43119,KC,RB,NA,Sun 1:00 pm @ Mia,FA,-,5,0.00,"2,612",545,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Dean Connors,43140,LAR,RB,NA,Sun 8:20 pm @ Den,FA,-,11,0.00,"2,549",558,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Anthony Hankerson,43149,Sea,RB,NA,Sun 1:00 pm @ Was,FA,-,11,0.00,"2,619",564,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Kevorian Barnes,43168,NYG,RB,NA,Sun 1:00 pm vs Ten,FA,-,8,0.00,"2,585",577,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Dontae McMillan,43182,Bal,RB,NA,Sun 4:25 pm @ Dal,FA,-,13,0.00,"2,599",584,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Desmond Reid,43185,Buf,RB,NA,Sun 1:00 pm vs LAC,FA,-,7,0.00,"2,536",587,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Coleman Bennett,43187,Mia,RB,NA,Sun 1:00 pm vs KC,FA,-,6,0.00,"2,571",588,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Noah Whittington,43197,Hou,RB,NA,Sun 1:00 pm @ Ind,FA,-,8,0.00,"2,613",594,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Nate Carter,42196,KC,RB,NA,Sun 1:00 pm @ Mia,FA,-,5,0.00,"2,607",874,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Jerome Ford,34112,Min,RB,NA,Sun 4:05 pm @ TB,FA,-,6,0.00,"2,529",941,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Nick Chubb,31005,Hou,RB,NA,Sun 1:00 pm @ Ind,FA,-,8,0.00,"2,060",626,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Ben VanSumeren,40518,KC,RB,,Sun 1:00 pm @ Mia,FA,-,5,0.00,"2,688","1,034",0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Scott Matlock,40225,LAC,RB,IR-R,Sun 1:00 pm @ Buf,FA,-,7,0.00,"2,736",922,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Khalil Herbert,33605,Atl,RB,NA,Thu 8:15 pm @ GB,FA,-,11,0.00,"2,764",764,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Deuce Vaughn,40240,Hou,RB,NA,Sun 1:00 pm @ Ind,FA,-,8,0.00,"2,661",933,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Lew Nichols,40260,Pit,RB,NA,Sun 1:00 pm vs Cin,FA,-,9,0.00,"2,579",942,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Kenny McIntosh,40267,Sea,RB,NA,Sun 1:00 pm @ Was,FA,-,11,0.00,"2,654",946,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Carlos Washington Jr.,40420,Mia,RB,NA,Sun 1:00 pm vs KC,FA,-,6,0.00,"2,617","1,004",0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Gary Brightwell,33584,Cin,RB,NA,Sun 1:00 pm @ Pit,FA,-,6,0.00,"2,561",762,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Brady Russell,40519,Sea,"RB,TE",,Sun 1:00 pm @ Was,FA,-,11,0.00,"2,771","1,035",0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Jermar Jefferson,33644,Min,RB,NA,Sun 4:05 pm @ TB,FA,-,6,0.00,"2,596",769,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Zavier Scott,40539,Chi,RB,NA,Mon 8:15 pm vs Phi,FA,-,10,0.00,"2,662","1,042",0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Deneric Prince,40570,NE,RB,NA,Sun 1:00 pm @ Jax,FA,-,11,0.00,"2,557","1,047",0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Elijah Mitchell,33582,KC,RB,NA,Sun 1:00 pm @ Mia,FA,-,5,0.00,"2,614",761,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Jordan Mims,40631,Phi,RB,NA,Mon 8:15 pm @ Chi,FA,-,10,0.00,"2,642","1,065",0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Owen Wright,40639,Hou,RB,NA,Sun 1:00 pm @ Ind,FA,-,8,0.00,"2,574","1,069",0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Dante Miller,40874,NYG,RB,NA,Sun 1:00 pm vs Ten,FA,-,8,0.00,"2,606","1,148",0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Jonathon Brooks,40926,Car,RB,IR,Sun 1:00 pm @ Cle,Sunday Kevin,-,5,0.00,177,"1,176",75%,-,-,-,-,-,-,-,-,-,-,-,-,-
Eric Gray,40198,Cle,RB,NA,Sun 1:00 pm vs Car,FA,-,11,0.00,"2,672",907,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Evan Hull,40169,Ari,RB,NA,Sun 4:05 pm @ SF,FA,-,14,0.00,"2,761",889,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Trey Sermon,33476,Atl,RB,IR,Thu 8:15 pm @ GB,FA,-,11,0.00,"2,637",748,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Malik Davis,34610,Dal,RB,IR,Sun 4:25 pm vs Bal,FA,-,14,0.00,"2,496","1,094",2%,-,-,-,-,-,-,-,-,-,-,-,-,-
Ty Chandler,34125,NO,RB,IR,Sun 4:25 pm vs LV,FA,-,8,0.00,"2,657",948,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Keaontay Ingram,34157,KC,RB,NA,Sun 1:00 pm @ Mia,FA,-,5,0.00,"2,565",960,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Brittain Brown,34206,Chi,RB,IR,Mon 8:15 pm vs Phi,FA,-,10,0.00,"2,550",978,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Isiah Pacheco,34207,Det,RB,IR,Sun 1:00 pm vs NYJ,FA,-,6,0.00,292,979,13%,-,-,-,-,-,-,-,-,-,-,-,-,-
Ronnie Rivers,34310,LAR,RB,IR,Sun 8:20 pm @ Den,FA,-,11,0.00,"2,777","1,012",0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Jordan Mason,34320,Min,RB,IR,Sun 4:05 pm @ TB,Locked In Michelle,-,6,0.00,151,"1,015",74%,-,-,-,-,-,-,-,-,-,-,-,-,-
Sincere McCormick,34551,SF,RB,NA,Sun 4:05 pm vs Ari,FA,-,8,0.00,"2,493","1,080",0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Raheem Blackshear,34617,Det,RB,NA,Sun 1:00 pm vs NYJ,FA,-,6,0.00,"2,678","1,096",0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Israel Abanikanda,40165,Dal,RB,NA,Sun 4:25 pm vs Bal,FA,-,14,0.00,"2,604",885,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Jashaun Corbin,34665,Dal,RB,NA,Sun 4:25 pm vs Bal,FA,-,14,0.00,"2,605","1,114",0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Zamir White,34078,NO,RB,NA,Sun 4:25 pm vs LV,FA,-,8,0.00,"2,739",917,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
