Player,Player ID,Team,Positions,Injury,Game,Roster Status,GP*,Bye,Fantasy Fan Pts,Rankings Pre-Season,Rankings Actual,Trends % Ros,Passing Yds,Passing TD,Passing Int,Rushing Att*,Rushing Yds,Rushing TD,Receiving Tgt*,Receiving Rec,Receiving Yds,Receiving TD,Ret TD,Misc 2PT,Fum Lost
Max Tomczak,43015,Buf,WR,NA,Sun 1:00 pm vs LAC,FA,-,7,0.00,"2,365",490,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Jamaal Pritchett,42233,NYJ,WR,NA,Sun 1:00 pm @ Det,FA,-,13,0.00,"2,393",898,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Stephen Gosnell,42062,Buf,WR,NA,Sun 1:00 pm vs LAC,FA,-,7,0.00,"2,318",816,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Eli Pancol,42217,Ind,WR,NA,Sun 1:00 pm vs Hou,FA,-,13,0.00,"2,388",888,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Brandon Aiyuk,32695,SF,WR,NA,Sun 4:05 pm vs Ari,FA,-,8,0.00,"2,110","1,153",1%,-,-,-,-,-,-,-,-,-,-,-,-,-
Ronnie Bell,40279,LV,WR,NA,Sun 4:25 pm @ NO,FA,-,13,0.00,"2,528",954,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Colton Dowell,40263,SF,WR,NA,Sun 4:05 pm vs Ari,FA,-,8,0.00,"2,348",945,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
A.T. Perry,40242,Den,WR,NA,Sun 8:20 pm vs LAR,FA,-,10,0.00,"2,300",935,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Gunner Olszewski,32612,NYG,WR,IR,Sun 1:00 pm vs Ten,FA,-,8,0.00,"2,648","1,112",0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Jalen Reagor,32691,Mia,WR,NA,Sun 1:00 pm vs KC,FA,-,6,0.00,"2,518","1,152",0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Trey Palmer,40223,NO,WR,NA,Sun 4:25 pm vs LV,FA,-,8,0.00,"2,507",919,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Andrei Iosivas,40211,Cin,WR,O,Sun 1:00 pm @ Pit,FA,-,6,0.00,279,914,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Mitchell Tinsley,40313,Hou,WR,NA,Sun 1:00 pm @ Ind,FA,-,8,0.00,"2,236",966,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Van Jefferson,32727,Was,WR,NA,Sun 1:00 pm vs Sea,FA,-,7,0.00,"2,098","1,170",0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Denzel Mims,32729,Dal,WR,NA,Sun 4:25 pm vs Bal,FA,-,14,0.00,"2,438","1,172",0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Justin Shorter,40167,LV,"WR,TE",IR,Sun 4:25 pm @ NO,FA,-,13,0.00,"2,269",887,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Charlie Jones,40158,NYG,WR,NA,Sun 1:00 pm vs Ten,FA,-,8,0.00,"2,756",882,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Tyler Scott,40141,LAR,WR,NA,Sun 8:20 pm @ Den,FA,-,11,0.00,"2,622",870,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Jalin Hyatt,40128,NYG,WR,NA,Sun 1:00 pm vs Ten,FA,-,8,0.00,"2,730",864,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Gabe Davis,32798,Buf,WR,NA,Sun 1:00 pm vs LAC,FA,-,7,0.00,"2,085",502,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Malik Cunningham,40290,Det,WR,NA,Sun 1:00 pm vs NYJ,FA,-,6,0.00,"2,421",956,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Elijah Cooks,40374,Car,WR,NA,Sun 1:00 pm @ Cle,FA,-,5,0.00,"2,333",985,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Tank Dell,40097,Hou,WR,IR-R,Sun 1:00 pm @ Ind,FA,-,8,0.00,"2,099",850,18%,-,-,-,-,-,-,-,-,-,-,-,-,-
Jalen Moreno-Cropper,40774,NO,WR,NA,Sun 4:25 pm vs LV,FA,-,8,0.00,"2,349","1,099",0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Alex Bachman,32124,LAR,WR,NA,Sun 8:20 pm @ Den,FA,-,11,0.00,"2,762",967,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
D.J. Montgomery,32283,Ind,WR,IR,Sun 1:00 pm vs Hou,FA,-,13,0.00,"2,398","1,024",0%,-,-,-,-,-,-,-,-,-,-,-,-,-
David Sills V,32418,TB,WR,IR-R,Sun 4:05 pm vs Min,FA,-,10,0.00,"2,247","1,059",0%,-,-,-,-,-,-,-,-,-,-,-,-,-
