player,pos,pos_eligible,nfl_team,status,opponent,home_away,kickoff,injury,status_col,updated,depth_chart,source_file
Jimmy Kibble,WR,WR,NE,NA,Pit,home,Sun 1:00 pm,Undisclosed,Q,Sep 16 3:36 AM,NE,game-day-calls.txt
Jake Bobo,WR,WR,Sea,IR,Ari,away,Sun 4:25 pm,Knee,IR,Sep 16 3:36 AM,Sea,game-day-calls.txt
Myles Montgomery,RB,RB,NE,IR,Pit,home,Sun 1:00 pm,Undisclosed,IR,Sep 16 3:36 AM,NE,game-day-calls.txt
River Cracraft,WR,WR,Was,NA,Dal,away,Sun 4:25 pm,Undisclosed,Q,Sep 16 3:36 AM,Was,game-day-calls.txt
Michael Penix Jr.,QB,QB,Atl,Q,Car,home,Sun 1:00 pm,Knee - ACL,Q,Sep 16 3:36 AM,Atl,game-day-calls.txt
Zane Gonzalez,K,K,Mia,NA,SF,away,Sun 4:25 pm,Undisclosed,Q,Sep 16 3:36 AM,Mia,game-day-calls.txt
Kadarius Calloway,RB,RB,TB,NA,Cle,home,Sun 1:00 pm,Undisclosed,Q,Sep 16 3:36 AM,TB,game-day-calls.txt
Ladd McConkey,WR,WR,LAC,Q,LV,home,Sun 4:05 pm,Ribs,Q,Sep 16 3:36 AM,LAC,game-day-calls.txt
Dontae Fleming,WR,WR,Min,NA,Chi,away,Sun 1:00 pm,Undisclosed,Q,Sep 16 3:36 AM,Min,game-day-calls.txt
Tip Reiman,TE,TE,Ari,P,Sea,home,Sun 4:25 pm,Ankle,PUP-R,Sep 16 3:36 AM,Ari,game-day-calls.txt
Trey Benson,RB,RB,Ari,IR,Sea,home,Sun 4:25 pm,Knee,IR,Sep 16 3:36 AM,Ari,game-day-calls.txt
Kyron Hudson,WR,WR,Chi,NA,Min,home,Sun 1:00 pm,Undisclosed,Q,Sep 16 3:36 AM,Chi,game-day-calls.txt
Bryson Nesbit,TE,TE,Min,NA,Chi,away,Sun 1:00 pm,Undisclosed,Q,Sep 16 3:36 AM,Min,game-day-calls.txt
Joe Mixon,RB,RB,Hou,O,Cin,home,Sun 1:00 pm,Foot,O,Sep 16 3:36 AM,Hou,game-day-calls.txt
Ja'Lynn Polk,WR,WR,NO,NA,Bal,away,Sun 1:00 pm,Undisclosed,RET,Sep 16 3:36 AM,NO,game-day-calls.txt
DJ Turner,WR,WR,LV,NA,LAC,away,Sun 4:05 pm,Undisclosed,Q,Sep 16 3:36 AM,LV,game-day-calls.txt
Nico Collins,WR,WR,Hou,Q,Cin,home,Sun 1:00 pm,Hamstring,Q,Sep 16 3:36 AM,Hou,game-day-calls.txt
Brock Rechsteiner,WR,WR,NO,SUSP,Bal,away,Sun 1:00 pm,Suspension,SUSP,Sep 16 3:36 AM,NO,game-day-calls.txt
James Conner,RB,RB,Ari,IR-R,Sea,home,Sun 4:25 pm,Foot,IR-R,Sep 16 3:36 AM,Ari,game-day-calls.txt
