player,pos,pos_eligible,nfl_team,status,opponent,home_away,kickoff,injury_type,depth_chart,source_file
Garrett Greene,WR,WR,TB,NA,Cle,home,Sun 1:00 pm,,TB,injury-report.txt
Stephen Gosnell,WR,WR,Buf,NA,Det,home,Thu 8:15 pm,,Buf,injury-report.txt
Ahmani Marshall,RB,RB,Car,NA,Atl,away,Sun 1:00 pm,,Car,injury-report.txt
Bryson Green,WR,WR,Ari,NA,Sea,home,Sun 4:25 pm,,Ari,injury-report.txt
Luke Grimm,WR,WR,LAC,NA,LV,home,Sun 4:05 pm,Undisclosed,LAC,injury-report.txt
Mac Dalena,WR,WR,Buf,NA,Det,home,Thu 8:15 pm,,Buf,injury-report.txt
Traeshon Holden,WR,WR,Dal,NA,Was,home,Sun 4:25 pm,,Dal,injury-report.txt
Maddux Trujillo,K,K,Buf,NA,Det,home,Thu 8:15 pm,,Buf,injury-report.txt
Ulysses Bentley IV,RB,RB,Ind,NA,KC,away,Sun 8:20 pm,,Ind,injury-report.txt
Rivaldo Fairweather,TE,TE,Ari,NA,Sea,home,Sun 4:25 pm,,Ari,injury-report.txt
Hal Presley III,WR,WR,KC,NA,Ind,home,Sun 8:20 pm,,KC,injury-report.txt
Jimmy Horn Jr.,WR,WR,Car,NA,Atl,away,Sun 1:00 pm,,Car,injury-report.txt
Kaden Prather,WR,WR,GB,NA,NYJ,away,Sun 1:00 pm,,GB,injury-report.txt
Quincy Skinner Jr.,WR,WR,GB,NA,NYJ,away,Sun 1:00 pm,,GB,injury-report.txt
Joshua Simon,TE,TE,Atl,NA,Car,home,Sun 1:00 pm,,Atl,injury-report.txt
Nick Nash,WR,WR,Was,NA,Dal,away,Sun 4:25 pm,,Was,injury-report.txt
Montrell Johnson Jr.,RB,RB,Car,NA,Atl,away,Sun 1:00 pm,,Car,injury-report.txt
Jalin Conyers,TE,TE,Mia,NA,SF,away,Sun 4:25 pm,,Mia,injury-report.txt
Damien Martinez,RB,RB,GB,NA,NYJ,away,Sun 1:00 pm,,GB,injury-report.txt
Phil Mafah,RB,RB,NYG,NA,LAR,away,Mon 8:15 pm,,NYG,injury-report.txt
AJ Henning,WR,WR,Mia,NA,SF,away,Sun 4:25 pm,,Mia,injury-report.txt
Jordan Moore,WR,WR,Cin,NA,Hou,away,Sun 1:00 pm,,Cin,injury-report.txt
Junior Bergen,WR,WR,NYJ,NA,GB,home,Sun 1:00 pm,,NYJ,injury-report.txt
Andrew Armstrong,WR,WR,KC,NA,Ind,home,Sun 8:20 pm,,KC,injury-report.txt
Theo Wease Jr.,WR,WR,LAC,NA,LV,home,Sun 4:05 pm,,LAC,injury-report.txt
Luke Lachey,TE,TE,Hou,NA,Cin,home,Sun 1:00 pm,Foot,Hou,injury-report.txt
Ricky White III,WR,WR,Sea,NA,Ari,away,Sun 4:25 pm,,Sea,injury-report.txt
Dominic Lovett,WR,WR,Det,NA,Buf,away,Thu 8:15 pm,,Det,injury-report.txt
JP Richardson,WR,WR,Chi,NA,Min,home,Sun 1:00 pm,,Chi,injury-report.txt
Marshall Lang,TE,TE,Min,NA,Chi,away,Sun 1:00 pm,,Min,injury-report.txt
Xavier Restrepo,WR,WR,Ten,NA,Phi,home,Sun 1:00 pm,,Ten,injury-report.txt
Layne Pryor,TE,TE,Hou,NA,Cin,home,Sun 1:00 pm,,Hou,injury-report.txt
Brenden Rice,WR,WR,LV,NA,LAC,away,Sun 4:05 pm,,LV,injury-report.txt
Tanner McLachlan,TE,TE,SF,NA,Mia,home,Sun 4:25 pm,Undisclosed,SF,injury-report.txt
Casey Washington,WR,WR,Car,NA,Atl,away,Sun 1:00 pm,,Car,injury-report.txt
Tejhaun Palmer,WR,WR,NE,NA,Pit,home,Sun 1:00 pm,,NE,injury-report.txt
Joshua Karty,K,K,Ari,NA,Sea,home,Sun 4:25 pm,,Ari,injury-report.txt
Kisean Johnson,WR,WR,GB,NA,NYJ,away,Sun 1:00 pm,,GB,injury-report.txt
ShunDerrick Powell,RB,RB,Phi,NA,Ten,away,Sun 1:00 pm,,Phi,injury-report.txt
Cornelius Johnson,WR,WR,Bal,NA,NO,home,Sun 1:00 pm,,Bal,injury-report.txt
