player,pos,pos_eligible,nfl_team,status,opponent,home_away,kickoff,roster_status,gp,bye,fan_pts,rank_preseason,rank_actual,pct_rostered,pass_yds,pass_td,pass_int,rush_att,rush_yds,rush_td,tgt,rec,rec_yds,rec_td,ret_td,two_pt,fum_lost,source_file
Barion Brown,WR,WR,NO,,Bal,away,Sun 1:00 pm,FA,1,8,0.30,2513,338,1,0,0,0,1,3,0,0,0,0,0,0,0,0,wr.txt
Luke Grimm,WR,WR,LAC,NA,LV,home,Sun 4:05 pm,FA,,7,0.00,2477,744,0,,,,,,,,,,,,,,wr.txt
Kyrese Rowan,WR,WR,NO,NA,Bal,away,Sun 1:00 pm,FA,,8,0.00,2389,961,0,,,,,,,,,,,,,,wr.txt
Jaden Smith,WR,WR,Dal,NA,Was,home,Sun 4:25 pm,FA,,14,0.00,2400,974,0,,,,,,,,,,,,,,wr.txt
Isaiah Bond,WR,WR,Cle,,TB,away,Sun 1:00 pm,FA,0,11,0.00,336,987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,wr.txt
Joaquin Davis,WR,WR,Pit,NA,NE,away,Sun 1:00 pm,FA,,9,0.00,2427,729,0,,,,,,,,,,,,,,wr.txt
Trent Taylor,WR,WR,SF,NA,Mia,home,Sun 4:25 pm,FA,,8,0.00,2342,980,0,,,,,,,,,,,,,,wr.txt
Damien Alford,WR,WR,NO,NA,Bal,away,Sun 1:00 pm,FA,,8,0.00,2416,993,0,,,,,,,,,,,,,,wr.txt
Josh Reynolds,WR,WR,NYJ,NA,GB,home,Sun 1:00 pm,FA,,13,0.00,2127,955,0,,,,,,,,,,,,,,wr.txt
De'Zhaun Stribling,WR,WR,SF,O,Mia,home,Sun 4:25 pm,Maybe Mitchell,,8,0.00,93,1001,60,,,,,,,,,,,,,,wr.txt
Bryson Green,WR,WR,Ari,NA,Sea,home,Sun 4:25 pm,FA,,14,0.00,2415,743,0,,,,,,,,,,,,,,wr.txt
Jordyn Tyson,WR,WR,NO,IR-R,Bal,away,Sun 1:00 pm,FA,,8,0.00,129,997,55,,,,,,,,,,,,,,wr.txt
Will Sheppard,WR,WR,Mia,NA,SF,away,Sun 4:25 pm,FA,,6,0.00,2382,736,0,,,,,,,,,,,,,,wr.txt
JuJu Smith-Schuster,WR,WR,NYG,NA,LAR,away,Mon 8:15 pm,FA,,8,0.00,2126,935,0,,,,,,,,,,,,,,wr.txt
Curtis Samuel,WR,WR,Buf,NA,Det,home,Thu 8:15 pm,FA,,7,0.00,2290,926,0,,,,,,,,,,,,,,wr.txt
Zay Jones,WR,WR,Hou,NA,Cin,home,Sun 1:00 pm,FA,,8,0.00,2284,925,0,,,,,,,,,,,,,,wr.txt
Germie Bernard,WR,WR,Pit,,NE,away,Sun 1:00 pm,FA,,9,0.00,266,1009,1,,,,,,,,,,,,,,wr.txt
Garrett Greene,WR,WR,TB,NA,Cle,home,Sun 1:00 pm,FA,,10,0.00,2451,738,0,,,,,,,,,,,,,,wr.txt
Andrew Armstrong,WR,WR,KC,NA,Ind,home,Sun 8:20 pm,FA,,5,0.00,2336,767,0,,,,,,,,,,,,,,wr.txt
