"key","player","pos","nfl_team","pct_rostered","fan_pts","gsis_id","player.nfl","pos.nfl","team","g","opp_tot","opp_pg","tgt_tot","car_tot","tgt_share","car_share","snap_pct","fp_tot","fp_pg","yds","td","opp_trend","fp_per_opp","opp_pctl","eff_rel","profile"
"corey kiner","Corey Kiner","RB","NE",0,1.1,"00-0040556","Corey Kiner","RB","NE",2,8,4,0,8,0,0.132488479262673,0.09,1.1,0.55,11,0,-4,0.1375,0.336448598130841,0.218823136074891,"-"
"keaton mitchell","Keaton Mitchell","RB","LAC",38,0.9,"00-0038454","Keaton Mitchell","RB","LAC",2,10,5,1,9,0.0192307692307692,0.173363095238095,0.28,5.3,2.65,48,0,2,0.53,0.420560747663551,0.843463724506854,"-"
"emari demercado","Emari Demercado","RB","Dal",2,0.7,"00-0038705","Emari Demercado","RB","DAL",2,5,2.5,0,5,0,0.126984126984127,0.125,1.5,0.75,15,0,1,0.3,0.280373831775701,0.477432296890672,"-"
"cj donaldson","CJ Donaldson","RB","NO",0,0.7,"00-0041326","CJ Donaldson","RB","NO",2,5,2.5,2,3,0.0192307692307692,0.0585185185185185,0.23,0.9,0.45,4,0,-3,0.18,0.280373831775701,0.286459378134403,"-"
"hunter luepke","Hunter Luepke","RB","Dal",0,0.7,"00-0038738","Hunter Luepke","RB","DAL",2,2,1,0,2,0,0.0515873015873016,0.22,0.8,0.4,8,0,0,0.4,0.14018691588785,0.636576395854229,"-"
"deejay dallas","DeeJay Dallas","RB","Min",0,0.6,"00-0036425","DeeJay Dallas","RB","MIN",2,4,2,2,2,0.0480549199084668,0.0357142857142857,0.12,3.1,1.55,21,0,2,0.775,0.214953271028037,1.23336676696757,"-"
"seth mcgowan","Seth McGowan","RB","Ind",1,0.5,"00-0041125","Seth McGowan","RB","IND",2,3,1.5,1,2,0.0172413793103448,0.03125,0.085,0.5,0.25,0,0,1,0.166666666666667,0.196261682242991,0.265240164939262,"-"
"ray davis","Ray Davis","RB","Buf",15,0.3,"00-0039875","Ray Davis","RB","BUF",2,1,0.5,0,1,0,0.0238095238095238,0.115,0.3,0.15,3,0,-1,0.3,0.130841121495327,0.477432296890672,"-"
"emanuel wilson","Emanuel Wilson","RB","Sea",1,0.3,"00-0038797","Emanuel Wilson","RB","SEA",2,24,12,1,23,0.0192307692307692,0.307954545454545,0.235,9.5,4.75,95,0,20,0.395833333333333,0.672897196261682,0.629945391730748,"-"
"tank bigsby","Tank Bigsby","RB","Phi",32,0.3,"00-0038555","Tank Bigsby","RB","PHI",2,16,8,2,14,0.0294117647058824,0.223125,0.225,11.1,5.55,41,1,14,0.69375,0.560747663551402,1.10406218655968,"-"
"frank gore","Frank Gore Jr.","RB","Buf",0,0.3,"00-0039471","Frank Gore Jr.","RB","BUF",1,1,1,0,1,0,0.0476190476190476,0.19,0.3,0.3,3,0,NA,0.3,0.14018691588785,0.477432296890672,"-"
"jordan james","Jordan James","RB","SF",1,0,"00-0040177","Jordan James","RB","SF",1,4,4,0,4,0,0.148148148148148,0.15,1.5,1.5,15,0,NA,0.375,0.336448598130841,0.59679037111334,"-"
"ollie gordon","Ollie Gordon II","RB","Mia",1,0,"00-0040198","Ollie Gordon II","RB","MIA",1,3,3,0,3,0,0.107142857142857,NA,0.7,0.7,7,0,NA,0.233333333333333,0.308411214953271,0.371336230914967,"-"
"mike gesicki","Mike Gesicki","TE","Cin",5,16.3,"00-0034829","Mike Gesicki","TE","CIN",1,7,7,7,0,0.205882352941176,0,0.33,16.3,16.3,78,1,NA,2.32857142857143,0.934065934065934,1.61706349206349,"hold volume + results"
